id,lens,title,what,outcome,status,amount,year,source,confidence,public_use,hold_reason,notes
A1,A,"Robodebt Royal Commission, 57 recs, years to act","57 recommendations on lawful, human-supervised automated decision-making; government accepted or accepted-in-principle 56.",As of late 2024 only ~28 reported fully implemented; the rest a multi-year grind that only moves while someone keeps score in public.,PARTIAL,$1.872bn settlement,2023,"Royal Commission into the Robodebt Scheme, Final Report (Holmes AC SC), 7 Jul 2023",HIGH,True,,
A2,A,"Aboriginal Deaths in Custody, 339 recs, still open",The 1991 Royal Commission made 339 recommendations; taxpayers paid for the answers decades ago.,"Decades on a great many remain unimplemented, with live disputes that official reviews overstated how much had been done.",IGNORED,,"1991, 2021 review",Royal Commission into Aboriginal Deaths in Custody (1991); ANU CIPR,HIGH,True,,
A3,A,"WA Auditor General: “same weaknesses, year after year”",The annual Information Systems Audit keeps reissuing the same control-weakness recommendations to agencies.,"AG: agencies “still not taking action… not taking the risks seriously”, the same warning recurs 2014 to 2017 to 2024 to 2025.",RECURRING,,2017,"WA Auditor General, Information Systems Audit Report 2017 (Caroline Spencer)",HIGH,True,,
A4,A,"WA AG 2025: 65% of IT findings carried over, again",The 2025 IS audit raised 359 control findings across 53 entities; the AG notes many “do not require large technology investments to fix.”,"65% were unaddressed from prior years and 57% of the most serious remained unresolved, a failure of will, not budget.",RECURRING,359 findings / 53 entities,2025,"WA Auditor General, State Government 2025 Information Systems Audit Results",HIGH,True,,
A5,A,WA AG told to track blowouts; govt called it “duplication”,The AG recommended transparent tracking of major-project cost and time; in 2022 Finance and Treasury called more reporting “unnecessary duplication.”,"The AG tracked it anyway, and that same work then found $1.6bn blown out and information “patchy, inconsistent and not transparent.”",IGNORED,$1.6bn later found,2022 to 2025,"WA Auditor General, Transparency Report - Major Projects (2022)",HIGH,True,,
B1,B,"Cowaramup service station, warned live, decision pending",A 12-bay service station is before an unelected Development Assessment Panel; 100+ residents protested on the safety grounds the town's own Precinct Plan already flags.,"Live, decision NOT yet made. In 2017 a servo drew 297 objections and was rejected, yet a truckstop operates there now. Not an “override” yet.",UNVERIFIED,,2026,DAP application DAP/26/03096 (Apr 2026); resident protest May 2026,MEDIUM,False,"HOLD: not for public use (status UNVERIFIED). Live matter, decision not yet made. Do not present as an override until the DAP determines it.","Live matter, decision not yet made. Do not present as an override until the DAP determines it."
B2,B,"Container deposit scheme (wine), warned, launched anyway","Friends of WA Wine put it in writing: ~$1.15 to 1.25 real cost per bottle vs a 10c refund, ~$11m/yr for under 1% litter gain, no WA glass reprocessor, WA hit a year early. They asked for a pause.","Government launched on schedule; the cost lands on regional wine country. The strongest of the four, fully documented, Warren-Blackwood's own back yard.",IGNORED,~$11m/yr industry cost,2026,Friends of WA Wine submission & Minister meeting (Mar 2026),HIGH,True,,
B3,B,"West Coast demersal fishing, warned 15 years, brutal patch",The fishery ran on an “interim” plan since 2007; overfishing was on the record ~15 years while fixes stayed too small.,"Dec 2025: rec fishing shut 21 months, commercial demersal permanently closed, $29.2m package. Frame only as “managed too slowly”, the science was right.",IGNORED,$29.2m support package,2007 to 2025,WA West Coast Demersal Scalefish management; Dec 2025 closure,HIGH,True,,
B4,B,"Sandalwood (FPC to DBCA), warned since 1921","WA Forests Dept reports warned in 1921 and 1958 that harvest rates were driving sandalwood to extinction; Red-listed vulnerable in 2021, wild populations down ~90%.","Control moves to DBCA from 2027 with quota quietly cut ~20%; the FPC blames bettongs and rainfall, never a century of harvest. Confirm handover scope.",IGNORED,"quota 2,500t to 2,000t",1921 to 2027,WA Forests Dept reports 1921 & 1958; IUCN Red List 2021,MEDIUM,True,,Confirm the FPC to DBCA handover scope before public use.
B5,B,"CDS regional refund-point access, warned 2018",A 2018 warning held that regional and remote communities would struggle to access container refund points.,"The warning is real and documented, but we could not confirm it materialised into closures or harm. Held as “worth checking,” not proven.",UNVERIFIED,,2018,2018 regional/remote refund-point access warning,LOW,False,"HOLD: not for public use (status UNVERIFIED, confidence LOW). Warning documented but not confirmed to have materialised into harm. Worth checking, not proven.","Warning documented but not confirmed to have materialised into harm. Worth checking, not proven."
